experiment,target_degradation,image_id,sample_key,full_dice,ablated_dice,full_iou,ablated_iou,full_precision,ablated_precision,full_recall,ablated_recall,full_specificity,ablated_specificity,full_pixel_accuracy,ablated_pixel_accuracy,full_hausdorff_distance,ablated_hausdorff_distance,full_hausdorff_95,ablated_hausdorff_95,dice_contribution,iou_contribution,hd_reduction,hd95_reduction
remove_recognition,all,04_test,04_test_mixed_noise15_blur5_contrast06,0.5285993131223284,0.3688082280232451,0.359249059645352,0.22609740581041918,0.4227812580281802,0.2836392657621708,0.7050720100187852,0.5270737896714234,0.8519068720403176,0.7952077228064127,0.8323292775631984,0.7594572386488968,45.27692569068709,45.27692569068709,17.0,18.788294228055936,0.15979108509908335,0.1331516538349328,0.0,1.7882942280559355
remove_recognition,all,04_test,04_test_mixed_noise15_contrast06,0.5073068893528184,0.41504138084807785,0.33986013986013985,0.261862597441287,0.77783831642035,0.3447058823529412,0.3763965329730086,0.5214382229838842,0.9834612693551822,0.8475009379721549,0.9025209050123695,0.8040267689617141,89.94442728707543,45.27692569068709,53.46026561849464,18.973665961010276,0.09226550850474058,0.07799754241885287,-44.66750159638834,-34.48659965748436
remove_recognition,all,04_test,04_test_noise_sigma15,0.5648620519032913,0.5020763744696217,0.39359425527867603,0.33518155793280097,0.5856152267742164,0.7964912280701754,0.5455294466598557,0.36657548693273573,0.9406136872952939,0.9855907196527982,0.8879368301717661,0.9030569873053955,56.22277118748239,87.98295289429652,24.08318915758459,51.42956348249516,0.06278567743366958,0.058412697345875064,31.76018170681413,27.34637432491057
remove_recognition,all,04_test,04_test_noise_sigma30,0.402575962233774,0.41606650765347475,0.2520157157499146,0.2626792789368266,0.34349243306169963,0.32070756653517307,0.4862076920541805,0.5921299805556471,0.8570378332336209,0.8070515225569628,0.8075947920923467,0.7783958835910483,45.27692569068709,45.27692569068709,20.09975124224178,18.110770276274835,-0.013490545419700739,-0.010663563186911973,0.0,-1.9889809659669453
remove_recognition,all,04_test,04_test_noise_sigma5,0.6661906048558305,0.49538440805875616,0.4994646216177109,0.329243170622481,0.8038284197289367,0.7777150916784202,0.5687967570774148,0.36344461655076954,0.9786446555867649,0.9840189825283673,0.9239993496706609,0.9012773698572352,64.8459713474939,105.3612832116238,24.166091947189145,58.034472514187634,0.17080619679707432,0.1702214509952299,40.5153118641299,33.86838056699849
remove_recognition,all,04_test,04_test_normal,0.6742044841667308,0.48845877492365725,0.5085282580270231,0.32315279717163314,0.8112455384044871,0.7663637004156978,0.5767722374188445,0.3584681804699601,0.979354472352637,0.9831874828883458,0.9256779024242344,0.8998932229531104,64.32728814430156,103.22790320451152,24.08318915758459,56.515484603779164,0.1857457092430736,0.18537546085538992,38.90061506020996,32.43229544619457
remove_recognition,all,05_test,05_test_blur_k3,0.726240100041684,0.40195684050711755,0.5701546265237667,0.2515306536743808,0.7836794362395981,0.3354922560381241,0.6766457375881935,0.5012622176192634,0.9706750679641251,0.8441169745166289,0.9307752104807789,0.7975914938096472,56.79788728465171,35.12833614050059,15.297058540778355,15.811388300841896,0.3242832595345665,0.3186239728493859,-21.669551144151114,0.514329760063541
remove_recognition,all,05_test,05_test_blur_k5,0.7255292139842866,0.38494931613426997,0.569278811209519,0.23835122945669324,0.7719010074463425,0.29538493484919276,0.6844132306298142,0.5524629425852806,0.9682461444650524,0.793089255316446,0.9297299433886856,0.7604362013764148,57.245087125446844,35.12833614050059,16.492422502470642,15.652475842498529,0.34057989785001663,0.3309275817528257,-22.11675098494625,-0.8399466599721137
remove_recognition,all,05_test,05_test_blur_k7,0.720348458804092,0.3561110994302054,0.5629254805811315,0.21662723028713948,0.7436171312407401,0.2637176133532636,0.698491811767752,0.5481584568580491,0.962189080007114,0.7597144236388119,0.9264052913352628,0.7310062232918887,55.31726674375732,36.796738985948195,17.46424919657298,16.1245154965971,0.3642373593738866,0.34629825029399197,-18.520527757809127,-1.3397336999758807
remove_recognition,all,05_test,05_test_lowcontrast_alpha04,0.6924288532411726,0.2687389736303883,0.5295534816270203,0.15522729937144353,0.6563270039136107,0.17708119007448253,0.7327335102595637,0.557091073855913,0.9397596483650499,0.593531339718997,0.9116661469610396,0.5885863860549073,33.0,35.73513677041127,12.206555615733702,16.401219466856727,0.42368987961078436,0.3743261822555768,2.7351367704112732,4.194663851123025
remove_recognition,all,05_test,05_test_lowcontrast_alpha06,0.7268241703644057,0.2980603268018583,0.5708749360820303,0.1751297836789764,0.7721597320811037,0.1947942237549568,0.6865169266619199,0.6343452650657,0.9681953301659086,0.5883076297670164,0.929971496708287,0.5945549489883308,60.90155991434045,35.4682957019364,14.422205101855956,16.278820596099706,0.42876384356254743,0.39574515240305397,-25.433264212404055,1.8566154942437496
remove_recognition,all,05_test,05_test_lowcontrast_alpha08,0.7298215214001039,0.3420414661504505,0.5745818667976317,0.2063027869317562,0.7854318961658958,0.23736346516007534,0.6815651498478866,0.6118842643536798,0.9707665337025839,0.6913336212810285,0.9315218298322742,0.6805523226449649,61.40032573203501,36.05551275463989,16.15549442140351,16.2603216698942,0.3877800552496534,0.3682790798658755,-25.344812977395115,0.10482724849068958
remove_recognition,all,05_test,05_test_mixed_blur5_contrast06,0.7096878132607761,0.29040122493273274,0.5500124857800838,0.16986513395302733,0.7939998397821036,0.18848900038595137,0.6415625606835393,0.6322415690335944,0.9738662059503544,0.5726263370512462,0.9287725138673565,0.58071613971444,61.326992425847855,35.4682957019364,18.973665961010276,16.401219466856727,0.4192865883280434,0.38014735182705645,-25.858696723911457,-2.5724464941535494
remove_recognition,all,05_test,05_test_mixed_noise15_blur5,0.5190455117949416,0.3827435712267261,0.3504803935089413,0.23666226605575832,0.5473865594485927,0.28283500131479217,0.49349472457764254,0.591785876108486,0.9359333316395234,0.7644045834497828,0.8758942962673424,0.7409801794521571,34.48187929913333,35.12833614050059,16.24798905242566,15.620499351813308,0.13630194056821554,0.11381812745318295,0.6464568413672609,-0.627489700612351
remove_recognition,all,05_test,05_test_mixed_noise15_blur5_contrast06,0.3304754233029996,0.2849613340821705,0.19794582716285292,0.16615446621996072,0.21927290046039055,0.18324937027707808,0.670528836817917,0.6404298012816364,0.625158159506085,0.5518382072715262,0.6313149723531246,0.5638601098848011,36.796738985948195,35.35533905932738,16.64331697709324,16.97056274847714,0.04551408922082911,0.0317913609428922,-1.441399926620818,0.3272457713839003
