split,degradation_type,group,samples,mse_mean,mse_std,psnr_mean,psnr_std,ssim_mean,ssim_std,entropy_mean,entropy_std,contrast_std_mean,contrast_std_std,dice_mean,dice_std,iou_mean,iou_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,pixel_accuracy_mean,pixel_accuracy_std,hausdorff_distance_mean,hausdorff_distance_std,hausdorff_95_mean,hausdorff_95_std
test,normal,fixed_enhancement,20,119.36692698998522,32.01667965340062,27.497344164829066,1.0901834152179395,0.826882794136593,0.011872581525026075,6.152681344620493,0.2535228439698326,0.083500231518305,0.013483185641025722,0.45205106662259203,0.07378532238778147,0.29481930762575365,0.0616314775442031,0.4988789340046824,0.18310417388410397,0.47734456593882735,0.10605642462341619,0.8985011912939675,0.0898473655278874,0.8443579601797462,0.06796345208304182,69.2279568285259,29.130197631500266,31.401309681963323,15.47179591858801
test,normal,no_enhancement,20,0.0,0.0,100.0,0.0,1.0,0.0,5.724815832412228,0.34191106479129585,0.07089545213207213,0.015771736650227155,0.6977117199566025,0.04352596152198167,0.5374043258973683,0.051889096822600164,0.7424673456583457,0.09346078415408976,0.6710594777605423,0.06739941512775441,0.9632586881618013,0.023560317463700194,0.9257237330723725,0.016539684256473498,53.16809900065168,14.890945629613578,17.238787695768934,4.153461346910512
train,all,adaptive_enhancement,280,153.6762607033262,145.24592764308372,32.76710443057692,19.085944282298314,0.8578169515797773,0.1250722565529709,5.943039559128633,0.4914589187858275,0.07448330891633316,0.025307330384959678,0.5879828005141051,0.14460247465845613,0.43047656654927585,0.13825727299078627,0.5652177977069136,0.19746024748296082,0.6686020977286719,0.09815507221978342,0.8946556082008648,0.10900711260718632,0.8652851227669753,0.09479376455547414,52.12762919167118,11.484893765348865,19.094609429028228,7.266747667910285
train,all,fixed_enhancement,280,296.5172724955874,619.0913226944073,25.74063991828408,3.504625868127557,0.7601910010119762,0.16019507205906625,6.054168244595468,0.5975880968636773,0.08141029674612878,0.03604279618862121,0.3662552181824907,0.08536410428383043,0.22756891762129516,0.06515379832432709,0.3258671394683546,0.17528677977654097,0.5595645751246916,0.11646390484729177,0.7568939931205582,0.15749657155975427,0.7307352236280521,0.12507416365048324,54.91519399997438,22.15342486080337,24.503797365911073,13.109926981376733
train,all,no_enhancement,280,194.29553078983218,248.3863210807587,34.0165719463136,19.461163050489663,0.7847794577072142,0.25991408777690556,5.734535029504757,0.7679127974789726,0.0713590203702586,0.03426034296000993,0.5215526676191513,0.15054388672546407,0.3666906687324361,0.13754903350834807,0.45303858155972376,0.2161182695113328,0.7413167563379701,0.07545204911994108,0.7991114601705247,0.16196677769841925,0.7910696115978175,0.1357641305137008,49.90696292762357,11.476735760276252,18.85584600690052,4.960274907932102
train,blur,adaptive_enhancement,60,131.98541775651884,38.07400090008251,27.094890754432257,1.207176194723102,0.9024915752768153,0.008863721028741117,6.344412649124802,0.3212633483437032,0.0907269898129161,0.021656697650953856,0.6901829461069933,0.062342827206305365,0.530059723299799,0.06695537022706147,0.6791660147465569,0.10964703946853795,0.7180822379286681,0.048132344354950854,0.9476490337010972,0.032169378997179025,0.9181460340402527,0.026278154401175275,52.51696259261242,8.464400429044023,17.54380813817615,4.926522722772057
train,blur,fixed_enhancement,60,145.2618551476846,39.55911903199833,26.65799453993044,1.1294889076900139,0.8085292771122974,0.02082692099161702,6.271235189049356,0.3480268387039238,0.08793828518258957,0.02219444846704098,0.38904931507330315,0.06269367115845431,0.2433627342332577,0.04865360469193869,0.35349118758002296,0.14399786138623402,0.5235698698551384,0.11360351675794586,0.8268330099945204,0.10323643215059501,0.7869305337557331,0.07745183398606313,54.05385524222776,20.023225500478254,23.808350012536785,12.365646954626298
train,blur,no_enhancement,60,12.274498554941243,7.62658254659522,38.02176345689738,2.6404043834489097,0.9464804680046562,0.020196570606240204,5.852365644951105,0.5139527717798067,0.0757381061799747,0.02759160646215346,0.6609234916297858,0.05054356491997003,0.49557420751041376,0.05415188753576271,0.6600032421470879,0.11745016399989015,0.6854559042302972,0.07148883768066133,0.9441725966176784,0.03346879412908823,0.9110626450397745,0.024643733545962786,56.04581101340761,12.388502098866685,19.16842431741177,5.5114301843497415
train,low_contrast,adaptive_enhancement,60,314.88336544717015,180.87724230331722,23.847747311852622,2.524440720344197,0.9306135645061244,0.036596074635037466,5.888641199711532,0.4302313768687073,0.06687309542963947,0.01995903888221525,0.6862871109161729,0.0669876856725703,0.5260166047205667,0.07220158674628628,0.6735160358792612,0.12459528756796263,0.7222817810950033,0.05460467109858166,0.9442554725727934,0.037456111308030324,0.9155896040353951,0.029503287454242178,52.330026680351786,9.070438535191226,16.579950268820415,5.1886626596431835
train,low_contrast,fixed_enhancement,60,199.28185072333784,159.61959537466285,26.38699263707848,3.3211772169687475,0.8008520483040709,0.03436612255573006,5.572966124264809,0.5219163352695221,0.05895836644340904,0.021464466217336838,0.3121448398395385,0.06958584399212532,0.18699053411855174,0.050742943945491406,0.23251690563250524,0.11085021350258407,0.5903988155760389,0.08763521903516554,0.6651294131204568,0.13610413997007875,0.6545204466503625,0.10946361041327969,47.974441603399846,12.83280830495968,20.646527293944295,6.99146448236355
